timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
9120973938,-0.022918886,0.01937386,0.0056507504
9120993909,-0.023643084,0.018693047,0.0053226016
9121014859,-0.02384784,0.017330758,0.0049309176
9121033783,-0.023689032,0.016230434,0.0047221724
9121053583,-0.023689032,0.016230434,0.0047221724
9121074733,-0.02244598,0.0140098315,0.0046459427
9121093131,-0.02244598,0.012603364,0.0047363783
9121113933,-0.02244598,0.012603364,0.0047363783
9121133949,-0.02244598,0.012603364,0.0047363783
9121154793,-0.02244598,0.012603364,0.0047363783
9121173745,-0.02244598,0.008773925,0.004762111
9121194673,-0.02244598,0.008773925,0.004820249
9121213743,-0.02244598,0.008773925,0.004926853
9121233627,-0.021026645,0.00561539,0.005381102
9121254751,-0.021026645,0.0038409089,0.00572161
9121273640,-0.021026645,0.0038409089,0.00572161
9121294489,-0.021026645,0.0038409089,0.00572161
9121313982,-0.021026645,0.0038409089,0.00572161
9121324319,-0.021026645,0.0038409089,0.00572161
9121354648,-0.021026645,0.0038409089,0.0057071536
9121374622,-0.021026645,0.0038409089,0.005600772
9121394474,-0.018803861,0.0011638175,0.005600772
9121414454,-0.018803861,0.0011638175,0.005600772
9121434250,-0.018803861,0.0011638175,0.005600772
9121454552,-0.018803861,0.0011638175,0.0055476255
9121474611,-0.018803861,0.0011638175,0.0054130945
9121494578,-0.018803861,-0.003150779,0.0054065543
9121505125,-0.018803861,-0.003150779,0.0053774687
9121534931,-0.018803861,-0.003150779,0.005025149
9121555032,-0.017933855,-0.005994474,0.0048132143
9121574964,-0.017614251,-0.0074060205,0.0046672435
9121594845,-0.017948616,-0.007636898,0.0044829925
9121614685,-0.017948616,-0.007053885,0.0044829925
9121634781,-0.017948616,-0.007053885,0.0044829925
9121645251,-0.017948616,-0.007053885,0.0045031616
9121674742,-0.019051705,-0.0030877758,0.004902749
9121694544,-0.019051705,-0.00035028963,0.0051911073
9121705036,-0.019051705,-0.00035028963,0.0051911073
9121734563,-0.019051705,-0.00035028963,0.00514415
9121745088,-0.019051705,-0.00035028963,0.005096054
9121774659,-0.019051705,-0.00035028963,0.005080315
9121785166,-0.019051705,-0.00035028963,0.005080315
9121805236,-0.019051705,-0.00035028963,0.005080315
9121825126,-0.020503286,0.0032908167,0.0055024144
9121854584,-0.020503286,0.0052223485,0.0058386475
9121865036,-0.020503286,0.007120104,0.0058386475
9121885225,-0.020503286,0.007120104,0.0058386475
9121914564,-0.020503286,0.007120104,0.0058386475
9121925008,-0.020503286,0.007120104,0.0058386475
9121945957,-0.020503286,0.007120104,0.0058386475
9121965906,-0.020503286,0.009205675,0.0058386475
9121987051,-0.020503286,0.009205675,0.0058386475
9122006038,-0.020503286,0.009205675,0.0058386475
9122024873,-0.020503286,0.009205675,0.0058386475
9122045865,-0.021874584,0.012131317,0.005645598
9122065930,-0.021874584,0.013567401,0.005576181
9122086808,-0.021874584,0.013567401,0.005576181
9122105785,-0.023331199,0.014915094,0.005694674
9122135164,-0.023331199,0.014544884,0.005573793
9122145644,-0.023331199,0.013903737,0.005532798
9122175123,-0.023914691,0.011699762,0.005500331
9122185524,-0.023980692,0.010418218,0.005646408
9122205519,-0.023980692,0.010418218,0.005646408
9122235137,-0.023940008,0.008741597,0.0054925443
9122245643,-0.023230182,0.0065234406,0.0056876824
9122266240,-0.023230182,0.0065234406,0.0056876824
9122286171,-0.023230182,0.0065234406,0.0056450595
9122305633,-0.023230182,0.0065234406,0.005602286
9122326393,-0.023230182,0.0065234406,0.005602286
9122345464,-0.023230182,0.0065234406,0.005602286
9122366462,-0.023230182,0.0065234406,0.005602286
9122385563,-0.023230182,0.0065234406,0.005602286
9122407794,-0.023230182,0.0065234406,0.005602286
9122426096,-0.023230182,0.0065234406,0.005602286
9122446999,-0.023230182,0.0065234406,0.005602286
9122466154,-0.023230182,0.0065234406,0.005602286
9122485236,-0.023230182,0.0065234406,0.005602286
9122506159,-0.023230182,0.0065234406,0.005602286
9122526403,-0.023230182,0.0065234406,0.005602286
9122547195,-0.023230182,0.0065234406,0.005602286
9122566721,-0.023230182,0.0040197307,0.005602286
9122586682,-0.023230182,0.0040197307,0.005602286
9122606218,-0.023230182,0.0040197307,0.005602286
9122628107,-0.023230182,0.0040197307,0.005599092
9122647208,-0.023230182,0.0040197307,0.005599092
9122666093,-0.023230182,0.0040197307,0.005599092
9122687001,-0.023230182,0.0019974068,0.005599092
9122705896,-0.023230182,0.0005800666,0.0056185173
9122727945,-0.023230182,-0.002021629,0.0056918086
9122746076,-0.021911308,-0.003583193,0.0057140198
9122767056,-0.01945399,-0.0042654066,0.005536294
9122786887,-0.01736577,-0.0044020065,0.0051386915
9122805779,-0.016044619,-0.0041111805,0.004636343
9122826765,-0.015069929,-0.003062517,0.003984024
9122846698,-0.014929564,-0.0019927295,0.0036345995
9122866534,-0.014929564,-0.0019927295,0.0036345995
9122886480,-0.014929564,-0.0019927295,0.0036345995
9122908449,-0.015056298,-0.0007421704,0.0036345995
9122927352,-0.015672827,0.0012064398,0.0036345995
9122946263,-0.015672827,0.0035661166,0.0036345995
9122967189,-0.01634174,0.004919515,0.0036345995
9122986564,-0.016908469,0.0049133794,0.0034745678
9123007407,-0.016908469,0.004877194,0.0034745678
9123027344,-0.016908469,0.0058422363,0.0034745678
9123048265,-0.016908469,0.006650167,0.0034745678
9123067230,-0.016908469,0.0074563045,0.0034745678
9123088136,-0.016908469,0.008240654,0.0034745678
9123106914,-0.016908469,0.00940787,0.0034745678
9123126728,-0.016908469,0.010560742,0.0034745678
9123147175,-0.016908469,0.012069295,0.0034745678
9123167062,-0.016908469,0.013110518,0.0034745678
9123187923,-0.016908469,0.014313659,0.0034745678
9123206895,-0.016908469,0.016543044,0.0035214608
9123228996,-0.016908469,0.018709892,0.0035392954
9123246769,-0.016908469,0.020007586,0.0035571733
9123267812,-0.016908469,0.020007586,0.0036947466
9123287670,-0.016908469,0.021118043,0.0038862631
9123306601,-0.016908469,0.023127818,0.003955996
9123327635,-0.016908469,0.023127818,0.0039147497
9123347780,-0.016908469,0.024949659,0.0037951157
9123368663,-0.016908469,0.026135337,0.0037951157
9123387553,-0.016908469,0.026912564,0.0037951157
9123408631,-0.016908469,0.027871128,0.0037951157
9123427509,-0.016908469,0.02852,0.0037951157
9123447359,-0.016908469,0.02852,0.003910554
9123468243,-0.016908469,0.030038465,0.0039207833
9123487380,-0.016908469,0.030683342,0.0039207833
9123508475,-0.01780506,0.030047186,0.003511535
9123527554,-0.01780506,0.030110158,0.003167245
9123548800,-0.01780506,0.030110158,0.0032886926
9123568064,-0.017314853,0.029221598,0.0035341422
9123587833,-0.017314853,0.027738083,0.0035341422
9123607807,-0.017314853,0.0259016,0.0035341422
9123627781,-0.014645768,0.024811612,0.0031128873
9123647676,-0.012412537,0.022935769,0.002728813
9123667374,-0.012412537,0.022935769,0.002728813
9123688460,-0.01176957,0.022220919,0.0025882937
9123708282,-0.011349265,0.021484844,0.0029204222
9123729283,-0.01108117,0.020570157,0.0036376212
9123748377,-0.0110170515,0.019061081,0.0038877283
9123768177,-0.0110170515,0.019061081,0.003628988
9123787991,-0.0110170515,0.017666958,0.0034265355
9123807992,-0.010425161,0.01572366,0.0032778056
9123828590,-0.008753077,0.013403886,0.0034564747
9123848557,-0.008753077,0.013403886,0.0036124175
9123869543,-0.008753077,0.011998644,0.0035949375
9123888649,-0.0082516,0.010283566,0.003664049
9123909002,-0.0074190544,0.009766808,0.0038841292
9123928541,-0.006624656,0.009016942,0.003913316
9123948530,-0.006624656,0.008089816,0.0037028224
9123968339,-0.0058134147,0.0065322276,0.0034826144
9123988406,-0.0045619803,0.0059476756,0.003403462
9124008378,-0.0037519394,0.0065170825,0.003646305
9124028665,-0.003618311,0.007195806,0.0038131753
9124049547,-0.003618311,0.007195806,0.0036971197
9124068435,-0.003618311,0.007195806,0.0032565007
9124088376,-0.003618311,0.007195806,0.0032565007
9124109301,-0.003957976,0.0086152945,0.0031952222
9124130128,-0.004631326,0.011136195,0.0031719452
9124149010,-0.0050722957,0.013811919,0.003278551
9124168242,-0.0050722957,0.016011398,0.003459175
9124190262,-0.0063023516,0.017897064,0.0034120707
9124209160,-0.0063023516,0.01901519,0.0032909089
9124228951,-0.0063023516,0.01901519,0.0032909089
9124249272,-0.0063023516,0.01901519,0.0032909089
9124268165,-0.007016513,0.02111856,0.003139291
9124289747,-0.0074564726,0.023506287,0.003015698
9124309002,-0.0074564726,0.023506287,0.003015698
9124328984,-0.0074564726,0.024601193,0.0030592787
9124348935,-0.0074564726,0.026891794,0.0031625906
9124370776,-0.0074564726,0.028849635,0.0033088473
9124388630,-0.0074564726,0.030614696,0.0033113444
9124410110,-0.0074564726,0.03170523,0.0032431427
9124429823,-0.0074564726,0.03170523,0.0032431427
9124448772,-0.007898432,0.033382066,0.0032879952
9124468871,-0.008554776,0.034385256,0.0032443516
9124488778,-0.009062235,0.034400627,0.0030085663
9124510885,-0.008788206,0.033161674,0.002420503
9124529028,-0.008507234,0.03130961,0.002420503
9124550217,-0.0078373095,0.029133469,0.002420503
9124569194,-0.0073000058,0.027128985,0.0018286504
9124589313,-0.0067003914,0.024863131,0.0015870073
9124609223,-0.0063147354,0.022760449,0.0014126438
9124629598,-0.005943493,0.020065129,0.0013017278
9124649511,-0.005343794,0.017661698,0.0013017278
9124669805,-0.005343794,0.016093379,0.0013017278
9124690608,-0.005343794,0.014640565,0.0013276581
9124709436,-0.005343794,0.012904603,0.0015416094
9124730405,-0.005343794,0.012904603,0.0017631772
9124749586,-0.004408571,0.009424383,0.002185833
9124769737,-0.004408571,0.0077375253,0.002185833
9124789573,-0.004408571,0.0077375253,0.002185833
9124809539,-0.0038689428,0.006080732,0.002185833
9124830560,-0.0038689428,0.006080732,0.002185833
9124849619,-0.0034647614,0.002622133,0.002185833
9124870555,-0.0034647614,0.0010638594,0.002185833
9124889344,-0.0034647614,-0.0021514087,0.002185833
9124910205,-0.0034647614,-0.003795327,0.002080656
9124930486,-0.0034647614,-0.006833229,0.0018759333
9124949268,-0.0034647614,-0.006833229,0.0018611923
9124970169,-0.0034647614,-0.006833229,0.0016276642
9124990079,-0.0027990884,-0.008703692,0.0015179139
9125011274,-0.0023503476,-0.011412105,0.0015512898
9125029479,-0.0012692732,-0.013489789,0.001854647
9125050545,-0.0012692732,-0.015649624,0.0021788208
9125070374,-0.00025321357,-0.01691793,0.0024251367
9125089752,0.0013013226,-0.01759443,0.0026991507
9125110632,0.0025811968,-0.018213604,0.0028808757
9125130541,0.0032254797,-0.01862846,0.0029157652
9125150358,0.0034427987,-0.018299436,0.0029875173
9125170319,0.003332208,-0.016897056,0.00295289
9125190903,0.0033520667,-0.0151181845,0.0028512743
9125209785,0.0035780098,-0.013832611,0.0026709312
9125230650,0.0036015683,-0.01222743,0.002216512
9125250675,0.0036907408,-0.011101472,0.0017518699
9125269768,0.0034926855,-0.009216843,0.0014817582
9125290615,0.0034926855,-0.008176662,0.0014817582
9125310601,0.0032547738,-0.006278356,0.0009860806
9125331550,0.003036499,-0.003874354,0.00065290846
9125350228,0.003036499,-0.0012588444,0.00065290846
9125371231,0.003036499,-0.0012588444,0.00065290846
9125391050,0.003036499,-0.0012588444,0.00065290846
9125411954,0.0033034917,0.0011077693,0.00038304733
9125430856,0.0032259761,0.0031426358,8.080769e-05
9125450797,0.0023889493,0.0048494153,8.080769e-05
9125470629,0.0020714784,0.006140915,8.080769e-05
