timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
9126688448,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1162.0,1119.0,1045.0,1074.0,1000.0,1000.0,1000.0,1000.0
9126788465,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1148.0,1157.0,1051.0,1040.0,1000.0,1000.0,1000.0,1000.0
9126888460,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1149.0,1157.0,1050.0,1040.0,1000.0,1000.0,1000.0,1000.0
9126988503,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1069.0,1048.0,1117.0,1164.0,1000.0,1000.0,1000.0,1000.0
9127088451,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1092.0,1157.0,1110.0,1000.0,1000.0,1000.0,1000.0
9127188444,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1051.0,1071.0,1166.0,1111.0,1000.0,1000.0,1000.0,1000.0
9127288452,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1130.0,1157.0,1072.0,1000.0,1000.0,1000.0,1000.0
9127388455,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1126.0,1157.0,1076.0,1000.0,1000.0,1000.0,1000.0
9127488490,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1122.0,1157.0,1080.0,1000.0,1000.0,1000.0,1000.0
9127588518,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1101.0,1157.0,1102.0,1000.0,1000.0,1000.0,1000.0
9127688464,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1082.0,1157.0,1120.0,1000.0,1000.0,1000.0,1000.0
9127788446,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1043.0,1068.0,1160.0,1127.0,1000.0,1000.0,1000.0,1000.0
9127888484,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1114.0,1157.0,1088.0,1000.0,1000.0,1000.0,1000.0
9127988450,16,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1040.0,1080.0,1157.0,1122.0,1000.0,1000.0,1000.0,1000.0
