timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
9131773530,9131771715,-1.3500825,-2.0314882,-9.442608
9131784097,9131779658,-1.0404289,-1.8776381,-9.601153
9131790323,9131789171,-0.6587289,-1.507333,-9.754
9131796711,9131795955,-0.37153447,-1.1248393,-9.806837
9131805069,9131804346,-0.1463244,-0.9107022,-9.778715
9131813455,9131811131,0.07289226,-0.7510339,-9.783428
9131823885,9131818736,0.3234216,-0.46463007,-9.826235
9131829062,9131827917,0.62150896,-0.08121084,-9.822622
9131835390,9131834666,0.91466314,0.30056542,-9.815592
9131844074,9131842028,1.1845434,0.6238712,-9.895599
9131853703,9131850058,1.4021397,0.84795195,-9.997977
9131865191,9131857869,1.4413508,0.8929559,-9.986856
9131867321,9131866607,1.2277098,0.73445594,-9.86577
9131874717,9131873980,0.87690747,0.47313654,-9.751525
9131884123,9131881211,0.4935368,0.16282457,-9.659571
9131894546,9131889031,0.038491845,-0.25459006,-9.528472
9131899703,9131897689,-0.40710855,-0.7217128,-9.40583
9131906089,9131905369,-0.6291155,-1.0515361,-9.389782
9131914533,9131913609,-0.603336,-1.1770356,-9.478288
9131923917,9131920990,-0.5044948,-1.1652646,-9.584495
9131934995,9131928769,-0.41852322,-1.0797095,-9.625709
9131937277,9131936556,-0.2839964,-0.9441885,-9.60507
9131945110,9131944162,-0.13300695,-0.7929807,-9.564675
9131953524,9131951670,-0.07908905,-0.7107789,-9.510127
9131963919,9131959496,-0.076362565,-0.6613158,-9.50823
9131970118,9131968990,0.004834883,-0.52139187,-9.60797
9131976467,9131975752,0.17612684,-0.2942776,-9.752533
9131984913,9131983957,0.4313997,-0.04256204,-9.94412
9131994370,9131991654,0.75848293,0.218781,-10.214118
9132003736,9131998623,1.067126,0.5198572,-10.485326
9132008050,9132007271,1.2503288,0.78312594,-10.651503
9132016209,9132015265,1.2030947,0.8313618,-10.686534
9132024603,9132023679,0.9629469,0.64656425,-10.585129
9132034288,9132030024,0.6369301,0.39575684,-10.359135
9132040477,9132039338,0.24761838,0.14702456,-10.068498
